pulse_energies;cross_section
71.61613211782401;3.4504968715495034e-05
100.56813065830403;4.6006624953993374e-05
116.06357447782403;5.750828119249172e-05
123.93003677830404;0.00011501656238498344
131.30377761328407;0.00013801987486198014
139.31784850250006;0.0002415347810084652
146.826143960384;0.00032204637467795363
154.98242291302404;0.00035655134339344864
162.62027050250003;0.000368052999631947
170.913383447204;0.0004485645933014354
179.27534037584405;0.0005750828119249171
187.704707208164;0.0008166175929333824
195.59108544000003;0.0008856275303643725
204.146420911424;0.0009891424365108576
212.76498769510403;0.0010581523739418477
221.445366199104;0.0012536805299963195
229.55982670250006;0.0013226904674273096
238.355418263844;0.0014262053735737946
247.20868538416408;0.001506716967243283
256.11822295984405;0.002334836216415164
264.44052500000004;0.0027143908722856093
273.4546298224641;0.0030594405594405595
281.8716191473641;0.003185958778064041
290.985105262244;0.0034159919028340082
299.4919786250241;0.003519506808980493
308.69968653190404;0.0036575266838424735
317.954227682304;0.0038300515274199485
327.25422568582405;0.004359127714390872
335.929440633444;0.004577659182922341
345.313232164964;0.004715679057784321
354.7384709070441;0.004784688995215311
364.20379495760403;0.004991718807508282
373.0277298880641;0.005129738682370261
382.5665289738241;0.005233253588516747
392.14144615558405;0.005359771807140228
401.751134019584;0.006348914243651086
410.7043749668841;0.006544442399705558
420.37732914448407;0.00673997055576003
429.3870061322241;0.006797478836952521
439.11825524000005;0.006970003680529997
448.179764265764;0.007039013617960986
457.96436337424404;0.007119525211630475
467.77468742000406;0.007211538461538462
477.6094177025001;0.007694608023555392
486.7623712986241;0.00784412955465587
496.640460406784;0.007947644460802355
506.5391150579841;0.007982149429517851
516.4570310400001;0.008223684210526315
525.6826343732841;0.008338700772911298
535.6340277771241;0.008465218991534781
545.6008842481641;0.008499723960250276
555.5819140625;0.009293338240706661
564.8615799357441;0.009948932646301067
574.8663155392642;0.010178965771071035
594.1894668827241;0.01028248067721752
603.5043297779841;0.010328487302171513
613.5422329763841;0.010351490614648509
623.58565524;0.010408998895841001
633.633335558144;0.010570022083179979
642.966038052324;0.010662035333087965
653.0183829025641;0.010719543614280456
662.3532547031042;0.010731045270518954
672.4056140685441;0.010800055207949945
681.7383495848042;0.010857563489142437
691.7860999025;0.01090357011409643
701.829648836324;0.010915071770334928
711.867764088804;0.011329131394920868
721.1829317747842;0.011478652926021347
731.20710144;0.011559164519690836
740.5072071908841;0.011582167832167832
750.512888047524;0.011628174457121826
759.79372544;0.011651177769598823
779.7453777213442;0.01166267942583732
789.6994528576641;0.011846705925653294
798.9281305025;0.011892712550607287
808.850081069924;0.011927217519322783
818.7536262056043;0.011938719175561281
828.6375768136041;0.012053735737946264
837.7969496400002;0.012088240706661759
847.639766457344;0.012099742362900257
857.4595276096642;0.012134247331615753
867.2550584893442;0.012674825174825174
876.3281890625;0.012927861612072138
886.0736867009642;0.01298536989326463
895.0983449968641;0.012996871549503129
913.761659583524;0.013019874861980125
923.3941312424039;0.013065881486934118
932.9944994968042;0.013077383143172618
942.5616184523243;0.013157894736842105
951.4146016269443;0.013180898049319103
979.8030373591042;0.013249907986750091
997.8700621643242;0.01326140964298859
1007.178610250084;0.013284412955465588
1016.4450339060842;0.013675469267574531
1025.0108784803842;0.013824990798675009
1034.1929216499839;0.013836492454913507
1042.678499698724;0.013847994111152007
1051.7720483025;0.013859495767390505
1060.1735518912642;0.013870997423629003
1078.125878621504;0.013882499079867501
1087.0265446400003;0.014158538829591462
1095.2451086891242;0.014204545454545454
1104.0449477012844;0.014216047110783952
1121.4819721025;0.014262053735737946
1129.502105078784;0.014273555391976445
1138.0841883866242;0.014296558704453441
1155.073125;0.014687615016562384
1162.8795430062441;0.014906146485093854
1171.2274659137638;0.014952153110047847
1178.9234392400003;0.014975156422524843
1187.150475316224;0.01500966139124034
1202.8346714628842;0.015021163047478837
1210.8707413025;0.015032664703717336
1218.8395742766443;0.01506716967243283
1241.2280343016046;0.015078671328671328
1278.469170274304;0.01521669120353331
1285.282212061284;0.015239694516010305
1292.5450075025;0.015251196172248804
1306.330562057024;0.0152741994847258
1333.484948632164;0.01534320942215679
1346.3457761034238;0.015354711078395289
1359.3464163031044;0.015400717703349283
1365.2638507025003;0.015412219359587781
1383.8567391438437;0.01578027235921973
1389.4463999999998;0.015791774015458226
1395.377168454464;0.015803275671696725
1400.8009959713645;0.01582627898417372
1428.215446093824;0.015872285609127713
1433.87;0.017286989326463012
1439.9065629376637;0.01729849098270151
1445.7806487306243;0.01730999263894001
1448.3599008856045;0.017321494295178506
1451.4928556147852;0.017332995951417005
1457.6762542298238;0.017344497607655503
1466.9300786675844;0.01742500920132499
1467.2959501652845;0.017436510857563488
1494.8140813025007;0.017448012513801986
1498.8709247025;0.017459514170040488
1505.7471838707838;0.017471015826278986
1510.0085495540843;0.017494019138755982
1521.3813264161645;0.01750552079499448
1524.2069140625;0.01771255060728745
1531.5977507389443;0.017724052263525948
1542.461708831745;0.017735553919764446
1548.6411086733442;0.017747055576002944
1549.894931185664;0.017758557232241443
1552.3676615848044;0.017804563857195435
