CNAF file:	C:\EXPERI~1\AUJUN21\CNAFS\XY-SE-SB.WRK
comment:	Jena microcontroller 03 3.3V fs35
CAMAC parameters per event:	    5
number of events per record:	  204
date:	03.06.21
time:	16:28:10
906	2709	0	0	470
2481	1800	0	0	279
2712	1768	0	0	317
1965	1728	0	0	283
3860	1368	0	0	348
2118	910	0	0	747
2028	909	0	0	719
1197	731	0	0	308
418	588	0	0	326
1995	89	0	0	296
3740	3688	0	0	364
1568	3260	0	0	284
67	2906	0	0	367
3672	2834	0	0	761
3142	2727	0	0	780
4043	2052	0	0	351
2820	1837	0	0	308
1713	1589	0	0	1456
1488	1553	0	0	880
368	1305	0	0	1997
3707	1162	0	0	2164
3481	1126	0	0	2307
2664	914	0	0	1996
2070	841	0	0	3846
1697	735	4	0	1548
1600	701	0	0	1100
1335	698	0	0	1056
1262	629	0	0	1515
1219	629	0	0	1224
1108	628	0	0	1243
995	627	0	0	1013
926	558	0	0	989
585	487	0	0	1491
134	449	0	0	1158
98	449	0	0	1522
110	415	0	0	1029
3741	343	0	0	1970
3554	307	0	0	1217
3124	201	0	0	1269
2975	166	0	0	2483
3294	100	0	0	310
2194	23	0	0	1470
2149	22	0	0	1338
2047	4083	0	0	2368
1374	3941	0	0	1370
911	3835	0	0	572
372	3728	0	0	823
3291	3514	0	0	3688
2953	3442	0	0	1192
1555	3363	0	0	277
2880	3203	0	0	423
1465	3089	0	0	1425
1249	3087	0	0	1772
1160	3086	4	0	1340
772	2946	4	0	802
762	2946	4	0	651
739	2946	4	0	1395
727	2946	4	0	482
717	2946	4	0	1006
704	2946	4	0	472
670	2946	4	0	581
657	2945	4	0	1171
644	2945	4	0	378
599	2945	4	0	527
572	2945	4	0	537
551	2945	0	0	1016
533	2944	0	0	552
523	2944	0	0	1143
511	2944	0	0	556
489	2944	4	0	556
478	2944	4	0	594
465	2944	4	0	491
426	2875	4	0	574
408	2875	4	0	1081
391	2875	4	0	710
381	2875	4	0	910
368	2875	4	0	687
359	2875	4	0	802
349	2875	4	0	694
336	2875	4	0	1040
325	2874	4	0	702
313	2874	4	0	647
299	2874	4	0	746
284	2874	4	0	684
266	2874	4	0	842
243	2874	4	0	682
235	2874	4	0	1023
222	2874	4	0	667
211	2874	4	0	311
190	2873	4	0	639
175	2873	4	0	799
163	2873	4	0	909
147	2873	4	0	578
130	2873	4	0	1317
118	2873	4	0	474
252	2840	4	0	971
231	2840	4	0	1334
215	2839	4	0	1610
202	2839	4	0	1011
193	2839	4	0	779
179	2839	4	0	1143
162	2839	4	0	595
147	2839	4	0	966
140	2839	4	0	565
123	2839	4	0	891
114	2839	4	0	559
99	2838	4	0	743
88	2838	4	0	848
76	2838	4	0	1052
58	2838	4	0	370
46	2838	4	0	925
33	2838	4	0	707
1	2838	4	0	857
4082	2837	4	0	848
4074	2837	4	0	1313
4057	2837	4	0	1633
4042	2837	4	0	1282
74	2804	4	0	1214
61	2804	4	0	621
52	2804	4	0	709
35	2804	4	0	1547
25	2804	4	0	1307
16	2804	4	0	1163
3	2804	4	0	1081
4085	2803	4	0	693
4072	2803	4	0	3011
4054	2803	0	0	1572
4036	2803	0	0	2149
4016	2803	0	0	786
3997	2803	0	0	694
3980	2803	0	0	1742
3958	2802	0	0	1062
3943	2802	0	0	1401
3917	2802	0	0	1601
3909	2802	0	0	1097
3895	2802	0	0	1167
3877	2802	0	0	1740
3866	2802	0	0	2101
3818	2733	0	0	1147
3803	2733	0	0	1131
3792	2733	0	0	1476
3776	2733	0	0	1613
3769	2732	0	0	777
3754	2732	0	0	1044
3746	2732	0	0	1319
3734	2732	0	0	1088
3716	2732	0	0	1186
3708	2732	0	0	670
3694	2732	0	0	1175
3678	2732	0	0	1324
3665	2732	0	0	957
3650	2731	0	0	874
3633	2731	0	0	1140
3604	2731	0	0	1750
3594	2731	0	0	1311
3582	2731	0	0	1611
3571	2731	0	0	1138
3559	2731	0	0	1365
3541	2731	0	0	1582
3519	2730	0	0	1613
3649	2697	0	0	1150
3614	2697	0	0	1468
3605	2697	0	0	1795
3592	2697	0	0	1482
3574	2697	0	0	806
3563	2697	0	0	1413
3551	2697	0	0	1813
3540	2696	0	0	1863
3528	2696	0	0	961
3503	2696	0	0	1046
3485	2696	0	0	474
3475	2696	0	0	1317
3458	2696	0	0	847
3448	2696	0	0	1577
3434	2696	0	0	777
3419	2695	0	0	1391
3406	2695	0	0	1446
3388	2695	0	0	2271
3362	2695	0	0	1834
3474	2662	0	0	855
3464	2662	0	0	0
3450	2662	0	0	595
3426	2661	0	0	1845
3421	2661	0	0	1039
3405	2661	0	0	1160
